package_name,version,application_type,Category
Microsoft FoxPro,2.5,Software,Office Productivity
Microsoft Bookshelf '94 Multimedia Reference Library,1994,Reference Library,Educational Software
After Dark,Version 2.0,Screen Saver,Kiosk / Public Access Software
EarthSiege 2,2,Game,Kiosk / Public Access Software
Adobe Persuasion,3.0,Presentation,Office Productivity
Adobe Persuasion QuickTime for Windows,3.0,Presentation,Office Productivity
Memphis Math: The Treasure of the Tombs,7.26.95,Educational,Educational Software
"DOS, HP Explorer, & MS Windows HP LaserJet 4 Software",A1A,Printing Software,Office Productivity
MSDN Disc 2465,October 2003,MSDN Library,Educational Software
MSDN Disc 2220,June 2003,MSDN Library,Educational Software
Visio Professional,5.0,diagramming,Office Productivity
V_Graph,1996,Java,Development Tools
Pacific Page,1989,Demonstration,Training Tools
Microsoft Internet Explorer,Version 4.0,Internet,Web Browser
Web Reporting with Dynalivery,Version 3.0,Web reporting,Office Productivity
MS Windows PCL Driver,31.V1.26,Printer Driver,Office Productivity
MS Windows,3.53,Printer Driver,Office Productivity
Corel Painter 8,2003,Design,CAD / Engineering Tools
X Vision X and Microsoft Windows- No longer worlds apart,4.10,Applications,Office Productivity
Etherlink The Connection for shared peripherals information access and personal communication,1984-1985,Applications,Communication Tools
WordPerfect Presentations,Version 2.0,Presentation,Remote Access Tools
Word Perfect Dos Magazine Disk of the Month,January-December 1995,Word Processor,Office Productivity
Word Perfect Dos Magazine Disk of the Month,January-December 1996,Word Processor,Office Productivity
ProDesigner II VGA,1990,Utility,Office Productivity
DataFile Medical Examiner Plug-In,2004,Applications,Office Productivity
Wave Blaster High-end MIDI Subsystem for Sound Blaster 16,1991-1992,audio,Office Productivity
Cakewalk Apprentice for Windows,1991-1992,audio,Office Productivity
System CD,1.5,System cd,Office Productivity
Gateway Telepath 28.8 Modem Driver and Configuration,28.8,Configuration,Office Productivity
CompuServe Information Manager for Windows,2.0.1,Information Manager,Data Science Tools
System CD,1.7,System cd,Office Productivity
Jaz Install Windows/DOS ,3.04,Installation disk,Office Productivity
Microsoft Office Professional & Bookshelf,4.0,Office Suite,Office Productivity
Central Point Backup for Windows,7,Backup,System Administration Tools
The Norton Antivirus for Windows & DOS,3.0,Antivirus,Security Monitoring Tools
The Norton Antivirus for Windows & DOS Rescue Disk,1993,Antivirus,Security Monitoring Tools
Aluria Software Spyware Eliminator,none,antispyware,Office Productivity
HP LaserJet 4 Plus Printing System,31.V1.30,Printing System,Office Productivity
STEALTH 24,1.00,System Software,System Administration Tools
Microsoft French,2004,Antivirus,Security Monitoring Tools
Microsoft Italian,2004,Antivirus,Security Monitoring Tools
Microsoft Japanese,2004,Antivirus,Security Monitoring Tools
