role,os_type,os_version,hostname_pattern,business_function,department,open_ports,running_services,installed_roles,installed_software
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,IT,"[53, 88, 135, 389, 445, 636]","[""Kerberos"", ""LDAP"", ""WinRM"", ""DNS""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Monitoring Agent"", ""PowerShell""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Directory Services,Infrastructure,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""RDP"", ""Monitoring Service""]","[""Active Directory Domain Services""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Authentication Services,Security,"[88, 135, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""DNS Server"", ""Management Tools"", ""Remote Administration""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Authentication Services,Infrastructure,"[88, 135, 389, 445]","[""Kerberos"", ""LDAP"", ""Event Log"", ""Monitoring Service""]","[""AD DS""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP""]","[""AD DS"", ""DNS Server"", ""Management Tools"", ""Remote Administration""]","[""AD Administrative Center""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,IT,"[88, 135, 389, 445, 636]","[""Active Directory"", ""DNS"", ""Kerberos"", ""Monitoring Service"", ""RDP""]","[""Active Directory Domain Services""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,IT,"[53, 88, 389, 445]","[""Kerberos"", ""LDAP"", ""Event Log""]","[""AD DS""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Authentication Services,IT,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS"", ""DNS Server""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 389, 445]","[""Active Directory Domain Services"", ""Kerberos""]","[""AD DS"", ""Remote Administration""]","[""AD Administrative Center"", ""AV Scanner"", ""Backup Agent""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""DNS""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Backup Agent"", ""Endpoint Protection""]"
Domain Controller,Windows Server,Windows Server 2022,SRV,Directory Services,Security,"[53, 88, 135, 389, 445, 636]","[""Active Directory Domain Services"", ""Kerberos"", ""DNS""]","[""AD DS""]","[""RSAT AD Tools""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Security,"[88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Monitoring Agent""]"
Domain Controller,Windows Server,Windows Server 2019,SRV,Identity Infrastructure,IT,"[53, 88, 135, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos""]","[""AD DS""]","[""Group Policy Management""]"
Domain Controller,Windows Server,Windows Server 2016,SRV,Identity Infrastructure,Infrastructure,"[53, 88, 389, 445]","[""Active Directory"", ""DNS"", ""Kerberos"", ""RDP"", ""Event Log""]","[""Active Directory Domain Services""]","[""AD Administrative Center"", ""Backup Agent"", ""AV Scanner""]"
