hostname,os_family,os_version,cpu_cores,memory_gb,gpu_present,domain_joined,virtualization,open_ports,running_services,server_role,confidentiality,integrity,availability,record_source,confidence,is_synthetic
srv-0001,Ubuntu Server,22.04,4,8,False,True,KVM,[  22   80  443 1935 3389],['winrm'],Media Streaming Server,Moderate,Moderate,Moderate,synthetic_rules,0.88,True
srv-0002,Windows Server,2016,32,8,False,True,VMware,[ 443 3389],['exchange'],Video Conferencing Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.87,True
srv-0003,Windows Server,2019,2,64,False,True,Hyper-V,[   22   443  3389 10000],['gitlab' 'puppetserver'],Backup Server,High,High,High,synthetic_hybrid,0.75,True
srv-0004,Ubuntu Server,22.04,16,128,False,False,VMware,[8081],['veeam'],Artifact Repository,Moderate,Moderate,Moderate,synthetic_hybrid,0.95,True
srv-0005,Windows Server,2019,4,64,False,True,VMware,[  22 3389],['dhcp' 'kubelet'],Bastion Host,Moderate,Moderate,Moderate,synthetic_hybrid,0.74,True
srv-0006,Windows Server,2016,32,4,False,True,VMware,[ 443 5986 8888],['winrm'],Analytics Server,Moderate,Moderate,Moderate,synthetic_ml_seed,0.87,True
srv-0007,RHEL,8,2,16,False,False,Container,[ 443 9000],['vault'],HSM Management Server,High,High,Moderate,synthetic_rules,0.7,True
srv-0008,Windows Server,2019,4,4,False,True,Hyper-V,[514],['winrm'],Syslog Server,Moderate,Moderate,Moderate,synthetic_rules,0.86,True
srv-0009,Ubuntu Server,20.04,8,128,False,False,VMware,[ 443 3260],['sshd'],SAN Management Server,High,High,High,synthetic_ml_seed,0.77,True
srv-0010,Windows Server,2019,2,64,False,True,KVM,[110 587],['exchange'],Mail Server,Moderate,Moderate,Moderate,synthetic_rules,0.83,True
srv-0011,Debian,11,32,128,False,False,Hyper-V,[8080],['jenkins'],DevOps Build Server,Moderate,Moderate,Moderate,synthetic_rules,0.97,True
srv-0012,Debian,12,2,4,False,False,Physical,[3128 5985],['winrm'],Proxy Server,Moderate,Moderate,Moderate,synthetic_rules,0.95,True
srv-0013,Debian,12,16,128,False,True,VMware,[  80 6080],['winrm'],GIS Server,Moderate,Moderate,Moderate,synthetic_rules,0.75,True
srv-0014,Ubuntu Server,20.04,8,4,False,False,Hyper-V,[ 22 587],['sharepoint'],Mail Server,Moderate,Moderate,Moderate,synthetic_rules,0.82,True
srv-0015,Ubuntu Server,22.04,8,16,False,False,Physical,[ 161 5985],['grafana' 'veeam'],Monitoring Server,Moderate,Moderate,Moderate,synthetic_hybrid,0.92,True
srv-0016,Debian,12,2,128,False,True,KVM,[443],['winrm'],Remote Desktop Services,Moderate,Moderate,Moderate,synthetic_ml_seed,0.78,True
srv-0017,RHEL,9,32,16,False,True,Physical,[ 443 3389 8080],['winrm'],Application Server,Moderate,Moderate,High,synthetic_hybrid,0.88,True
